timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712305296215,7627,Simpli,200,OK,Thread Group 1-4,text,true,,452517,242,4,4,https://www.simplilearn.com/,221,0,101
1712305296215,221,Simpli-0,301,Moved Permanently,Thread Group 1-4,text,true,,569,121,4,4,http://www.simplilearn.com/,221,0,101
1712305296437,7405,Simpli-1,200,OK,Thread Group 1-4,text,true,,451948,121,4,4,https://www.simplilearn.com/,555,0,359
1712305295562,8415,Simpli,200,OK,Thread Group 1-1,text,true,,452528,242,4,4,https://www.simplilearn.com/,308,0,205
1712305295562,323,Simpli-0,301,Moved Permanently,Thread Group 1-1,text,true,,569,121,4,4,http://www.simplilearn.com/,308,0,205
1712305295893,8084,Simpli-1,200,OK,Thread Group 1-1,text,true,,451959,121,4,4,https://www.simplilearn.com/,1068,0,703
1712305295720,8573,Simpli,200,OK,Thread Group 1-2,text,true,,452452,242,4,4,https://www.simplilearn.com/,169,0,76
1712305295720,169,Simpli-0,301,Moved Permanently,Thread Group 1-2,text,true,,569,121,4,4,http://www.simplilearn.com/,169,0,76
1712305295894,8399,Simpli-1,200,OK,Thread Group 1-2,text,true,,451883,121,4,4,https://www.simplilearn.com/,1265,0,702
1712305295968,8472,Simpli,200,OK,Thread Group 1-3,text,true,,452475,242,4,4,https://www.simplilearn.com/,168,0,83
1712305295968,169,Simpli-0,301,Moved Permanently,Thread Group 1-3,text,true,,569,121,4,4,http://www.simplilearn.com/,168,0,83
1712305296138,8302,Simpli-1,200,OK,Thread Group 1-3,text,true,,451906,121,4,4,https://www.simplilearn.com/,1025,0,458
1712305304295,2257,Resources,200,OK,Thread Group 1-2,text,true,,235234,392,4,4,https://www.simplilearn.com/resources,145,0,0
1712305304295,145,Resources-0,301,Moved Permanently,Thread Group 1-2,text,true,,579,131,4,4,http://www.simplilearn.com/resources/,145,0,0
1712305304440,109,Resources-1,301,Moved Permanently,Thread Group 1-2,text,true,,449,131,4,4,https://www.simplilearn.com/resources/,109,0,0
1712305304550,2002,Resources-2,200,OK,Thread Group 1-2,text,true,,234206,130,4,4,https://www.simplilearn.com/resources,465,0,0
1712305303849,3020,Resources,200,OK,Thread Group 1-4,text,true,,235158,392,4,4,https://www.simplilearn.com/resources,152,0,0
1712305303849,153,Resources-0,301,Moved Permanently,Thread Group 1-4,text,true,,579,131,4,4,http://www.simplilearn.com/resources/,152,0,0
1712305304002,296,Resources-1,301,Moved Permanently,Thread Group 1-4,text,true,,442,131,4,4,https://www.simplilearn.com/resources/,296,0,0
1712305304298,2571,Resources-2,200,OK,Thread Group 1-4,text,true,,234137,130,4,4,https://www.simplilearn.com/resources,1129,0,0
1712305304442,2872,Resources,200,OK,Thread Group 1-3,text,true,,235180,392,4,4,https://www.simplilearn.com/resources,65,0,0
1712305304442,65,Resources-0,301,Moved Permanently,Thread Group 1-3,text,true,,579,131,4,4,http://www.simplilearn.com/resources/,65,0,0
1712305304508,131,Resources-1,301,Moved Permanently,Thread Group 1-3,text,true,,449,131,4,4,https://www.simplilearn.com/resources/,130,0,0
1712305304639,2675,Resources-2,200,OK,Thread Group 1-3,text,true,,234152,130,4,4,https://www.simplilearn.com/resources,1340,0,0
1712305303979,3698,Resources,200,OK,Thread Group 1-1,text,true,,235144,392,4,4,https://www.simplilearn.com/resources,109,0,0
1712305303979,109,Resources-0,301,Moved Permanently,Thread Group 1-1,text,true,,579,131,4,4,http://www.simplilearn.com/resources/,109,0,0
1712305304089,369,Resources-1,301,Moved Permanently,Thread Group 1-1,text,true,,442,131,4,4,https://www.simplilearn.com/resources/,368,0,0
1712305304458,3219,Resources-2,200,OK,Thread Group 1-1,text,true,,234123,130,4,4,https://www.simplilearn.com/resources,1111,0,0
1712305306870,7889,Business,200,OK,Thread Group 1-4,text,true,,1595378,389,4,4,https://www.simplilearn.com/business,164,0,0
1712305306870,164,Business-0,301,Moved Permanently,Thread Group 1-4,text,true,,578,130,4,4,http://www.simplilearn.com/business/,164,0,0
1712305307035,1360,Business-1,301,Moved Permanently,Thread Group 1-4,text,true,,713,130,4,4,https://www.simplilearn.com/business/,1360,0,0
1712305308396,6363,Business-2,200,OK,Thread Group 1-4,text,true,,1594087,129,4,4,https://www.simplilearn.com/business,137,0,0
1712305307315,8339,Business,200,OK,Thread Group 1-3,text,true,,1595298,389,4,4,https://www.simplilearn.com/business,82,0,0
1712305307315,82,Business-0,301,Moved Permanently,Thread Group 1-3,text,true,,578,130,4,4,http://www.simplilearn.com/business/,82,0,0
1712305307398,1168,Business-1,301,Moved Permanently,Thread Group 1-3,text,true,,713,130,4,4,https://www.simplilearn.com/business/,1168,0,0
1712305308567,7087,Business-2,200,OK,Thread Group 1-3,text,true,,1594007,129,4,4,https://www.simplilearn.com/business,146,0,0
1712305314761,1322,Simpli,200,OK,Thread Group 1-4,text,true,,452443,242,4,4,https://www.simplilearn.com/,237,0,0
1712305314761,237,Simpli-0,301,Moved Permanently,Thread Group 1-4,text,true,,569,121,4,4,http://www.simplilearn.com/,237,0,0
1712305314998,1085,Simpli-1,200,OK,Thread Group 1-4,text,true,,451874,121,4,4,https://www.simplilearn.com/,210,0,0
1712305306553,9565,Business,200,OK,Thread Group 1-2,text,true,,1595456,389,4,4,https://www.simplilearn.com/business,291,0,0
1712305306553,291,Business-0,301,Moved Permanently,Thread Group 1-2,text,true,,578,130,4,4,http://www.simplilearn.com/business/,291,0,0
1712305306845,1550,Business-1,301,Moved Permanently,Thread Group 1-2,text,true,,713,130,4,4,https://www.simplilearn.com/business/,1550,0,0
1712305308396,7722,Business-2,200,OK,Thread Group 1-2,text,true,,1594165,129,4,4,https://www.simplilearn.com/business,229,0,0
1712305316084,652,Resources,200,OK,Thread Group 1-4,text,true,,234965,392,4,4,https://www.simplilearn.com/resources,72,0,0
1712305316084,72,Resources-0,301,Moved Permanently,Thread Group 1-4,text,true,,579,131,4,4,http://www.simplilearn.com/resources/,72,0,0
1712305316157,77,Resources-1,301,Moved Permanently,Thread Group 1-4,text,true,,450,131,4,4,https://www.simplilearn.com/resources/,77,0,0
1712305316235,501,Resources-2,200,OK,Thread Group 1-4,text,true,,233936,130,4,4,https://www.simplilearn.com/resources,171,0,0
1712305307677,9066,Business,200,OK,Thread Group 1-1,text,true,,1595522,389,4,4,https://www.simplilearn.com/business,62,0,0
1712305307677,62,Business-0,301,Moved Permanently,Thread Group 1-1,text,true,,578,130,4,4,http://www.simplilearn.com/business/,62,0,0
1712305307740,1205,Business-1,301,Moved Permanently,Thread Group 1-1,text,true,,713,130,4,4,https://www.simplilearn.com/business/,1205,0,0
1712305308945,7798,Business-2,200,OK,Thread Group 1-1,text,true,,1594231,129,4,4,https://www.simplilearn.com/business,169,0,0
1712305315656,1597,Simpli,200,OK,Thread Group 1-3,text,true,,452435,242,4,4,https://www.simplilearn.com/,83,0,0
1712305315656,83,Simpli-0,301,Moved Permanently,Thread Group 1-3,text,true,,569,121,4,4,http://www.simplilearn.com/,83,0,0
1712305315740,1513,Simpli-1,200,OK,Thread Group 1-3,text,true,,451866,121,4,4,https://www.simplilearn.com/,222,0,0
1712305316745,1658,Simpli,200,OK,Thread Group 1-1,text,true,,452435,242,4,4,https://www.simplilearn.com/,98,0,0
1712305316745,98,Simpli-0,301,Moved Permanently,Thread Group 1-1,text,true,,569,121,4,4,http://www.simplilearn.com/,98,0,0
1712305316844,1559,Simpli-1,200,OK,Thread Group 1-1,text,true,,451866,121,4,4,https://www.simplilearn.com/,96,0,0
1712305316119,2586,Simpli,200,OK,Thread Group 1-2,text,true,,452435,242,4,4,https://www.simplilearn.com/,87,0,0
1712305316119,87,Simpli-0,301,Moved Permanently,Thread Group 1-2,text,true,,569,121,4,4,http://www.simplilearn.com/,87,0,0
1712305316207,2498,Simpli-1,200,OK,Thread Group 1-2,text,true,,451866,121,4,4,https://www.simplilearn.com/,219,0,0
1712305317255,1575,Resources,200,OK,Thread Group 1-3,text,true,,234965,392,4,4,https://www.simplilearn.com/resources,151,0,0
1712305317255,152,Resources-0,301,Moved Permanently,Thread Group 1-3,text,true,,579,131,4,4,http://www.simplilearn.com/resources/,151,0,0
1712305317407,138,Resources-1,301,Moved Permanently,Thread Group 1-3,text,true,,450,131,4,4,https://www.simplilearn.com/resources/,138,0,0
1712305317546,1284,Resources-2,200,OK,Thread Group 1-3,text,true,,233936,130,4,4,https://www.simplilearn.com/resources,295,0,0
1712305318405,2429,Resources,200,OK,Thread Group 1-1,text,true,,234965,392,4,4,https://www.simplilearn.com/resources,430,0,0
1712305318405,430,Resources-0,301,Moved Permanently,Thread Group 1-1,text,true,,579,131,4,4,http://www.simplilearn.com/resources/,430,0,0
1712305318835,229,Resources-1,301,Moved Permanently,Thread Group 1-1,text,true,,450,131,4,4,https://www.simplilearn.com/resources/,229,0,0
1712305319065,1769,Resources-2,200,OK,Thread Group 1-1,text,true,,233936,130,4,4,https://www.simplilearn.com/resources,408,0,0
1712305318707,2288,Resources,200,OK,Thread Group 1-2,text,true,,234965,392,4,4,https://www.simplilearn.com/resources,291,0,0
1712305318707,291,Resources-0,301,Moved Permanently,Thread Group 1-2,text,true,,579,131,4,4,http://www.simplilearn.com/resources/,291,0,0
1712305318999,310,Resources-1,301,Moved Permanently,Thread Group 1-2,text,true,,450,131,4,4,https://www.simplilearn.com/resources/,310,0,0
1712305319310,1685,Resources-2,200,OK,Thread Group 1-2,text,true,,233936,130,4,4,https://www.simplilearn.com/resources,404,0,0
1712305316738,7564,Business,200,OK,Thread Group 1-4,text,true,,1594644,389,4,4,https://www.simplilearn.com/business,106,0,0
1712305316738,106,Business-0,301,Moved Permanently,Thread Group 1-4,text,true,,578,130,4,4,http://www.simplilearn.com/business/,106,0,0
1712305316845,65,Business-1,301,Moved Permanently,Thread Group 1-4,text,true,,720,130,4,4,https://www.simplilearn.com/business/,65,0,0
1712305316911,7391,Business-2,200,OK,Thread Group 1-4,text,true,,1593346,129,4,4,https://www.simplilearn.com/business,93,0,0
1712305318831,6485,Business,200,OK,Thread Group 1-3,text,true,,1594606,389,3,3,https://www.simplilearn.com/business,205,0,0
1712305318831,205,Business-0,301,Moved Permanently,Thread Group 1-3,text,true,,578,130,3,3,http://www.simplilearn.com/business/,205,0,0
1712305319037,366,Business-1,301,Moved Permanently,Thread Group 1-3,text,true,,721,130,3,3,https://www.simplilearn.com/business/,366,0,0
1712305319404,5912,Business-2,200,OK,Thread Group 1-3,text,true,,1593307,129,3,3,https://www.simplilearn.com/business,358,0,0
1712305320852,10384,Business,200,OK,Thread Group 1-1,text,true,,1594615,389,2,2,https://www.simplilearn.com/business,170,0,0
1712305320852,171,Business-0,301,Moved Permanently,Thread Group 1-1,text,true,,578,130,2,2,http://www.simplilearn.com/business/,170,0,0
1712305321023,64,Business-1,301,Moved Permanently,Thread Group 1-1,text,true,,721,130,2,2,https://www.simplilearn.com/business/,64,0,0
1712305321088,10148,Business-2,200,OK,Thread Group 1-1,text,true,,1593316,129,2,2,https://www.simplilearn.com/business,112,0,0
1712305320997,11670,Business,200,OK,Thread Group 1-2,text,true,,1594607,389,1,1,https://www.simplilearn.com/business,106,0,0
1712305320997,106,Business-0,301,Moved Permanently,Thread Group 1-2,text,true,,578,130,1,1,http://www.simplilearn.com/business/,106,0,0
1712305321104,121,Business-1,301,Moved Permanently,Thread Group 1-2,text,true,,721,130,1,1,https://www.simplilearn.com/business/,121,0,0
1712305321225,11442,Business-2,200,OK,Thread Group 1-2,text,true,,1593308,129,1,1,https://www.simplilearn.com/business,222,0,0
